图片名称,检测时间,检测结果,检测对象总数,置信度阈值
upload_1754546856_微信图片_20250805142522.jpg,2025-08-07 14:07:49,"杂质(8个), 坏粒(3个)",11,0.6
upload_1754546856_微信图片_20250805142523.jpg,2025-08-07 14:07:49,"杂质(7个), 坏粒(2个)",9,0.6
